RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.6924,41.8012,217.2956,323.2086,105.913,449.9563,-0.0588,71.9495,407.7764,203.3196,347.8546,24.646,162.8795,16.5615,114.9206,226.2398,0.1909,-0.0954
-88.4991,25.7164,205.2137,279.8436,74.6299,259.4452,-0.0406,73.9986,526.7649,195.4444,347.1573,67.3137,170.8797,29.3082,116.445,223.9235,0.3101,-0.1792
-88.7273,26.7481,261.8647,348.7325,86.8678,268.2757,-0.1342,65.0386,514.353,247.9443,415.8975,67.165,195.2449,32.0767,131.9207,244.6689,0.2997,-0.1736
-88.3954,19.7567,237.0296,310.5258,73.4962,225.4711,-0.0494,75.6266,483.9871,185.8723,346.7679,36.2422,160.7627,23.5084,115.6171,226.3672,0.266,-0.138
-88.8842,29.4395,208.8248,272.3331,63.5082,309.0012,-0.0504,61.5527,441.9958,239.6243,406.1282,133.7951,187.9102,23.4388,119.9505,230.7148,0.227,-0.1402
-88.1681,30.4588,180.5553,242.324,61.7687,319.9808,0.0197,71.5838,462.6908,167.7397,292.603,50.279,152.5206,20.476,100.7566,202.1128,0.2435,-0.1418
-88.4847,31.016,262.2991,406.2662,143.9672,324.3537,-0.126,66.7183,533.3013,245.2972,423.7003,17.4341,192.8334,33.7381,135.7631,255.482,0.3185,-0.1732
-88.0426,22.1863,156.2644,210.5692,54.3048,220.0285,0.0577,71.4622,424.8515,206.266,380.6628,170.0937,169.6672,19.663,109.7567,227.562,0.2096,-0.1183
-87.9899,39.0657,153.7053,231.4261,77.7209,414.6599,0.0439,71.4113,476.504,197.2491,355.8875,124.4614,170.8737,24.6712,108.3979,219.8189,0.2615,-0.1544
-88.7489,36.5667,206.3215,273.973,67.6515,385.2464,-0.0486,68.9589,442.2728,187.7781,321.3244,47.3514,158.917,19.5072,109.2217,214.8437,0.225,-0.1231
-88.6134,34.1008,180.9937,249.4995,68.5058,358.1444,-0.0033,78.2558,502.3077,175.4086,319.484,69.9845,160.5408,24.9524,108.117,215.4472,0.2834,-0.1584
-89.0611,40.7128,207.695,281.4175,73.7225,444.7927,-0.0809,68.2255,543.3047,212.5635,364.4005,82.983,180.3382,32.6485,121.3802,227.193,0.3276,-0.1953
-88.895,38.6316,209.4064,279.9478,70.5414,409.1935,-0.082,79.4004,575.5937,164.389,307.7739,27.8261,161.4689,31.0597,110.1767,214.0763,0.3507,-0.1929
