Model_Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,GNaK,GCaL,GJrel,GJup,Ca50,Myo,Cao
170,1.45404,0.913347,1.10906,1.24909,1.10807,0.689531,1.26233,1.36332,1.02454,1.34019,1.1696,1,1,1
172,0.88371,0.943948,1.32551,0.920653,0.604348,1.05072,0.536377,0.658559,0.598186,1.18154,1.2465,1,1,1
176,0.756979,0.533078,0.717873,1.23286,0.942102,1.04817,0.886406,0.779159,1.13074,0.668815,0.559729,1,1,1
183,1.01979,1.29451,1.42181,1.08167,0.903659,1.04273,0.947157,1.48597,0.808851,0.813033,1.42363,1,1,1
184,1.28894,0.922445,1.41309,1.41117,1.35309,1.45345,0.783929,1.24268,1.07349,1.21309,1.00556,1,1,1
185,1.46331,1.45838,1.19636,1.44181,0.60735,1.16117,1.04784,0.687596,0.880607,1.37729,0.760041,1,1,1
190,0.563893,1.36676,0.814601,1.34648,0.843388,1.19292,1.35587,0.874565,1.20277,0.809575,0.637969,1,1,1
191,0.93684,1.44273,1.09013,0.902032,0.552529,0.661717,1.06668,1.45588,1.19379,1.42155,0.743094,1,1,1
192,0.671243,1.3535,0.842143,1.43101,0.994088,1.03688,1.40338,0.619101,1.38706,1.20449,0.663865,1,1,1
198,1.24157,1.43916,0.759274,1.37214,1.2582,1.296,0.914997,1.24168,1.30012,0.934505,0.809294,1,1,1
199,0.79983,0.771313,0.590907,0.839201,1.33771,1.15545,0.67184,0.816865,0.992585,0.524592,1.43108,1,1,1
201,0.549753,1.34554,0.706413,1.4032,1.48321,1.47231,0.787828,0.518397,0.922554,1.06639,1.3409,1,1,1
203,0.816049,1.46164,0.968586,1.27405,1.34595,1.31707,0.535178,0.528166,0.791518,1.40302,0.902808,1,1,1
210,0.711915,1.28546,0.833431,0.657692,0.91326,1.30957,1.31397,0.731687,0.986439,0.916294,0.82233,1,1,1
211,0.841686,0.582597,0.735728,0.930601,0.755224,0.847847,1.4733,0.860293,1.29333,0.800647,0.696123,1,1,1
213,1.25292,0.561794,1.30098,0.882447,1.43817,0.701823,0.528551,0.613424,0.682847,0.984055,0.649831,1,1,1
214,1.02151,1.10783,1.30861,0.655179,0.619979,1.22317,0.846064,1.46547,0.97291,1.47384,0.725037,1,1,1
216,0.652208,1.1714,0.680978,1.12246,1.4204,0.660873,1.25541,1.365,1.17478,1.49939,0.730785,1,1,1
219,1.27117,1.4385,1.43771,1.15307,1.2249,0.524953,0.802734,0.75039,0.828293,1.48779,1.10625,1,1,1
220,1.01866,1.24618,0.945596,1.15887,0.504191,1.30695,1.45812,1.22353,1.31363,0.538549,1.21942,1,1,1
221,0.502744,0.751456,1.46896,0.944331,0.57288,0.565938,0.784117,1.48971,1.07088,0.591993,1.31775,1,1,1
236,0.731348,1.49427,1.32715,1.24084,1.47959,0.82981,1.36519,0.855108,1.00898,0.532187,1.08772,1,1,1
237,0.677585,1.23156,0.781064,1.46174,1.02391,1.28504,0.745822,0.841334,1.17286,0.583183,0.99376,1,1,1
244,1.02992,0.888251,1.22766,1.28821,0.746878,1.17949,1.19835,1.25111,1.39382,0.772687,1.01049,1,1,1
245,0.729853,0.91655,0.94207,0.786676,1.19142,1.48079,1.03067,0.871281,1.24149,0.804401,0.859421,1,1,1
247,0.500452,1.10379,1.26684,0.901439,1.47472,1.47623,0.639623,0.84678,0.749331,1.44796,1.35268,1,1,1
249,0.725773,0.836295,1.45814,1.18579,0.864415,1.11002,1.26416,0.746826,1.25607,0.885508,0.924809,1,1,1
259,1.16746,0.874848,1.40104,1.11901,1.3673,1.4771,1.37682,0.832173,1.42578,1.38553,1.11678,1,1,1
264,0.519464,0.598509,0.520899,0.945118,1.32473,0.912163,1.02488,1.0984,0.956509,0.719557,1.26127,1,1,1
266,0.809699,1.26571,0.600914,1.37866,1.08253,0.810571,1.37736,0.520614,1.21008,0.660929,0.646077,1,1,1
268,1.26725,1.1695,1.31114,0.845308,0.57563,0.955855,0.898321,0.795276,1.07648,0.70914,1.24871,1,1,1
269,0.602105,0.67505,1.39346,1.01242,0.512753,0.687779,0.892347,1.22168,1.28815,1.3483,0.657986,1,1,1
272,0.609311,1.33758,1.17241,1.19294,0.565258,1.47063,0.510026,1.03345,0.513389,0.973346,1.38822,1,1,1
275,0.770503,0.622717,0.957598,0.859066,1.46812,0.931172,0.994041,0.664541,0.904006,0.502619,1.44991,1,1,1
276,1.40165,1.41048,0.608044,1.35531,1.42312,0.867843,0.944711,1.32793,1.21695,1.41757,1.16107,1,1,1
277,0.718115,1.33003,1.1651,0.981253,0.995797,0.657359,0.866536,1.19878,1.10873,0.519376,0.740996,1,1,1
278,1.33004,1.04499,1.45735,0.980457,1.44296,1.05686,1.0788,0.84385,0.988346,0.580957,1.32983,1,1,1
279,0.910442,0.781594,0.969494,0.707791,1.16056,1.4141,1.49537,1.11883,1.03846,1.19726,0.956,1,1,1
280,1.04918,1.0542,0.7749,1.06188,1.20897,1.063,0.567269,1.38528,0.652003,0.563262,1.43847,1,1,1
283,1.31409,0.646437,1.01106,1.2191,1.46332,0.579599,1.17049,0.934925,1.14223,0.73612,0.917818,1,1,1
285,1.25513,0.792927,0.779056,1.46443,0.93144,0.90759,1.1006,1.29469,1.42618,0.883666,0.97029,1,1,1
288,1.05354,0.980617,0.975824,1.26117,1.08179,0.592823,0.816844,1.48606,1.26316,0.526017,0.915224,1,1,1
291,1.48529,1.34789,1.18708,0.93505,0.691613,0.896867,0.616619,0.788391,0.786831,0.664161,0.944385,1,1,1
294,0.825501,1.08764,0.699502,0.966958,0.803492,1.15109,1.48741,1.2119,1.48038,0.79503,1.12467,1,1,1
295,1.44724,0.833597,0.524341,1.07249,0.881122,0.632873,0.500494,0.911953,0.868769,0.511399,1.037,1,1,1
296,1.48676,1.45492,1.02228,1.12704,1.22345,1.02346,0.881222,1.24919,0.788247,1.06933,1.27791,1,1,1
298,1.16209,0.596562,0.719257,0.673028,0.989021,0.830561,0.507473,0.957079,0.725742,1.21135,0.918448,1,1,1
307,0.613362,0.918209,0.548437,0.672983,0.599795,1.41709,1.23897,0.751195,1.19297,0.658043,0.854352,1,1,1
308,1.10785,1.24889,1.28299,1.14292,1.31675,1.13485,0.680764,1.36216,1.06506,1.1371,0.877636,1,1,1
310,1.45804,0.591451,1.34298,1.26651,0.930793,1.04963,0.854153,1.35725,1.04664,0.796228,1.49568,1,1,1
311,1.22415,0.664201,1.16362,0.646897,1.13097,1.33693,0.859335,1.39327,1.27063,0.626152,1.04078,1,1,1
313,0.955981,0.695806,1.47273,0.509132,0.542389,0.721092,0.669429,1.46964,0.900382,1.49322,1.05944,1,1,1
315,0.591106,1.1124,1.04591,0.674449,1.2,0.798184,0.68224,0.862728,0.739008,1.34498,0.991137,1,1,1
329,0.895382,1.40414,1.0639,1.18908,0.600164,1.06725,0.976761,1.13354,1.23338,0.607955,0.913337,1,1,1
330,0.954404,1.27621,0.964163,1.37742,1.2901,1.35351,1.33313,1.39679,1.1719,0.941822,1.04115,1,1,1
333,0.932102,0.796628,0.954507,1.01934,0.635424,1.08239,1.08359,1.14494,1.0445,1.49832,1.36289,1,1,1
335,1.34667,1.45152,1.40797,1.14753,1.06316,1.20006,1.20068,0.949183,0.841633,1.38734,1.41228,1,1,1
336,1.19803,0.761776,0.935096,0.833712,1.02592,0.893858,0.826673,0.614548,0.991293,0.61439,1.13204,1,1,1
338,1.18665,0.864011,0.632403,1.49224,1.22171,0.937858,1.30031,1.05131,1.30856,1.4632,1.09042,1,1,1
339,1.16145,0.753058,0.634918,0.774021,0.918745,1.381,1.42169,1.13829,1.43875,0.837619,0.778751,1,1,1
340,1.2016,1.35767,0.812739,0.765547,0.637393,1.01521,1.22553,0.793453,1.04859,0.921693,0.900666,1,1,1
343,1.0027,0.625573,0.843102,1.45814,0.844503,1.19804,1.00245,1.34134,1.34166,1.47141,1.12324,1,1,1
345,1.30172,0.616713,0.925451,0.872263,0.527391,1.25519,0.809995,1.37103,1.26657,1.05048,1.05728,1,1,1
346,0.85628,0.767441,0.785429,1.21507,1.02917,0.768613,0.980725,1.30623,1.04298,1.41858,0.862959,1,1,1
348,1.28945,0.993023,1.34704,0.952648,1.26966,0.974582,0.683567,0.913713,1.05908,0.935501,0.904054,1,1,1
349,1.33165,1.213,0.64781,1.39927,0.579184,0.891074,1.16609,0.822448,1.0514,1.35271,0.691033,1,1,1
354,0.748219,1.07275,1.20264,1.31972,1.48011,0.72617,1.40523,0.730268,1.29064,0.595411,0.982345,1,1,1
359,0.60587,0.65746,0.59786,1.02406,1.3012,0.774127,0.546024,1.3243,0.979319,1.11418,0.724917,1,1,1
362,1.0317,0.717219,1.01401,1.04885,0.889996,0.885034,0.763307,1.02783,1.05585,1.3613,1.48768,1,1,1
364,0.914008,1.19995,1.11794,1.37554,0.985235,1.23135,0.814731,1.00568,1.08102,1.27371,0.907331,1,1,1
368,0.553641,1.09989,1.4486,1.09139,1.364,0.918763,0.844385,0.621803,1.01185,1.1507,1.07758,1,1,1
369,0.665914,1.29561,0.604272,1.13871,1.44501,1.13676,0.675443,0.594566,0.762493,0.6151,1.06371,1,1,1
371,0.776676,0.585477,0.603842,1.17161,1.15273,0.791666,1.10841,1.24631,1.05391,0.735491,1.08619,1,1,1
372,1.29978,0.619221,1.14127,0.50726,1.09984,0.942947,0.9848,0.836391,0.834104,1.30248,0.864838,1,1,1
374,1.16491,1.06732,1.18049,1.16172,1.21733,0.733269,0.587102,1.02599,0.82138,0.991092,0.519061,1,1,1
375,1.21587,1.48123,0.757959,1.34011,1.17339,0.648122,1.36415,0.739014,1.34638,0.879806,0.693375,1,1,1
379,0.859711,1.32263,0.74042,0.810914,1.17514,1.27004,0.50154,0.882339,0.718839,0.842052,0.800067,1,1,1
387,0.99893,0.628356,1.44277,1.26043,0.578088,1.03193,0.776069,1.41883,1.25734,0.631501,1.3871,1,1,1
391,1.40522,0.958192,0.801925,1.25035,1.48247,0.518524,1.24203,0.75493,1.17929,0.681655,0.952986,1,1,1
396,1.37839,0.770701,1.05656,1.33141,1.45647,1.05154,1.03297,0.950859,1.09199,0.895233,1.35804,1,1,1
405,0.815864,1.36924,0.996038,0.896655,0.70098,1.42403,0.713578,1.23547,0.929565,0.83311,1.17337,1,1,1
409,1.46883,0.774159,1.42061,0.818242,0.790773,1.25887,0.559781,0.618478,0.825993,0.687814,0.628139,1,1,1
414,0.950812,0.964918,0.530888,1.24511,1.09694,0.728039,0.942227,1.27568,1.05663,1.04203,1.16643,1,1,1
416,1.30955,0.599081,0.873721,0.970999,1.0715,1.28804,1.41726,1.11162,1.14192,0.718646,1.01228,1,1,1
421,0.863081,0.595199,0.509983,0.8618,0.972658,0.563029,1.10583,0.689388,0.887221,0.890927,1.30393,1,1,1
428,0.628809,1.00511,1.16817,1.27836,1.19628,0.765954,0.769149,1.46132,0.871673,1.26467,1.27214,1,1,1
429,0.889456,0.954781,1.2999,1.45529,1.13115,1.32908,0.902117,0.620244,1.01976,0.852138,0.931833,1,1,1
431,1.24386,1.21381,0.769044,0.877686,1.47579,0.975293,1.03927,1.13293,0.934429,1.1186,0.959924,1,1,1
435,0.862543,0.93854,0.82993,0.743526,1.07267,0.926128,1.03549,1.25949,0.877032,0.817882,1.12621,1,1,1
436,0.733818,1.44128,0.531144,1.23857,1.05133,0.585227,1.35093,1.23932,1.37818,1.00913,0.830126,1,1,1
441,0.996189,1.42391,1.36922,1.18621,0.556849,0.806563,0.673608,0.973086,0.694969,0.952693,1.15069,1,1,1
443,0.57654,0.795601,0.663169,0.827637,0.533234,0.8489,1.12463,1.02356,1.26044,0.864374,1.0215,1,1,1
444,1.0676,0.889139,0.715821,1.35098,0.589174,1.35701,0.756795,0.975038,1.00928,0.857802,1.21682,1,1,1
446,0.657215,0.632725,1.11581,1.10659,1.23918,1.45128,0.724829,1.25568,0.980634,1.24505,1.36166,1,1,1
447,1.48191,0.909137,1.27441,0.626633,0.641663,0.720331,0.733182,1.31386,1.04947,0.841837,0.694274,1,1,1
448,0.608614,0.72211,0.984043,0.927066,1.32193,0.636284,1.01764,0.859286,0.981678,0.950674,0.851254,1,1,1
449,1.30328,1.46659,1.04836,1.18841,0.871415,1.34486,0.808107,1.32604,0.790829,0.778275,0.967018,1,1,1
450,1.47287,0.5133,1.4354,1.30474,0.583562,1.19114,1.4686,1.12741,1.49435,0.638625,1.06689,1,1,1
454,1.42015,1.24427,1.40596,1.47814,0.874827,0.622523,0.88773,1.19411,1.01243,1.10692,1.04998,1,1,1
455,1.20789,0.534227,0.540089,0.817521,0.86833,0.658991,0.960017,1.29086,1.23411,1.23409,1.11436,1,1,1
456,0.513836,0.859371,0.618096,0.784231,0.699279,1.29976,1.09681,1.28835,1.01604,0.876343,0.806619,1,1,1
457,1.02039,1.26462,1.27825,1.36582,1.49665,1.29691,1.16564,1.43055,1.49662,1.19339,0.81483,1,1,1
459,1.38124,0.856356,0.834494,1.03973,0.846054,1.25447,0.657232,0.546054,0.912513,1.01789,0.935909,1,1,1
461,1.13736,1.01417,1.33181,1.38818,0.719929,1.29061,1.02938,1.18629,1.1129,1.39,0.67319,1,1,1
463,1.1183,0.508651,1.12842,1.13688,1.116,1.48496,0.830501,0.688971,1.04576,0.726274,1.29919,1,1,1
464,0.620381,0.547608,1.3659,0.855336,1.35436,0.529673,0.646446,1.32553,0.771952,0.897365,1.46956,1,1,1
465,1.34291,0.733591,0.755141,1.20987,0.857175,1.26888,0.958241,1.05922,1.32918,0.713539,1.04614,1,1,1
